"","mean.[ALL]","sd.[ALL]","med.[ALL]","Q1.[ALL]","Q3.[ALL]","n.[ALL]","prop.[ALL]","inc.[ALL]","lower.[ALL]","upper.[ALL]","mean.No CH-PD","sd.No CH-PD","med.No CH-PD","Q1.No CH-PD","Q3.No CH-PD","n.No CH-PD","prop.No CH-PD","inc.No CH-PD","lower.No CH-PD","upper.No CH-PD","mean.Non-DDR CH-PD","sd.Non-DDR CH-PD","med.Non-DDR CH-PD","Q1.Non-DDR CH-PD","Q3.Non-DDR CH-PD","n.Non-DDR CH-PD","prop.Non-DDR CH-PD","inc.Non-DDR CH-PD","lower.Non-DDR CH-PD","upper.Non-DDR CH-PD","mean.DDR CH-PD","sd.DDR CH-PD","med.DDR CH-PD","Q1.DDR CH-PD","Q3.DDR CH-PD","n.DDR CH-PD","prop.DDR CH-PD","inc.DDR CH-PD","lower.DDR CH-PD","upper.DDR CH-PD"
"Gender: Female",NA,NA,NA,NA,NA,1167,0.531662870159453,NA,0.996843997146228,1,NA,NA,NA,NA,NA,926,0.793487574978578,NA,0.769107884192669,0.816378074228416,NA,NA,NA,NA,NA,169,0.144815766923736,NA,0.125111521052705,0.166328574318485,NA,NA,NA,NA,NA,72,0.0616966580976864,NA,0.0485834309778408,0.0770690136984695
"Gender: Male",NA,NA,NA,NA,NA,1028,0.468337129840547,NA,0.99641802648969,1,NA,NA,NA,NA,NA,765,0.744163424124514,NA,0.716328918634923,0.770592108896504,NA,NA,NA,NA,NA,177,0.172178988326848,NA,0.14957868707956,0.196673562122224,NA,NA,NA,NA,NA,86,0.0836575875486381,NA,0.0674576473992363,0.102286352358344
"Age (yrs)",NA,NA,60.7282676696777,51.2128677368164,69.0746040344239,NA,NA,NA,60.0164260864258,61.4674873352051,NA,NA,58.2422981262207,48.3737163543702,66.7310066223145,NA,NA,NA,57.492130279541,59.0417518615723,NA,NA,68.379192352295,60.0410690307617,73.4291572570801,NA,NA,NA,66.4640655517578,69.6974639892578,NA,NA,68.9637222290039,62.2648878097534,74.7015762329101,NA,NA,NA,67.4387435913086,70.2313461303711
"Primary Tumor Subtype: Breast Carcinoma",NA,NA,NA,NA,NA,395,0.17995444191344,NA,0.990704537095682,1,NA,NA,NA,NA,NA,325,0.822784810126582,NA,0.781483268390509,0.859167478525891,NA,NA,NA,NA,NA,52,0.131645569620253,NA,0.0999050892633422,0.16902886224447,NA,NA,NA,NA,NA,18,0.0455696202531646,NA,0.027227739341527,0.0710653073728186
"Primary Tumor Subtype: Cancer of Unknown Primary",NA,NA,NA,NA,NA,66,0.0300683371298405,NA,0.945641152829878,1,NA,NA,NA,NA,NA,44,0.666666666666667,NA,0.53986134314975,0.777969237278006,NA,NA,NA,NA,NA,12,0.181818181818182,NA,0.0976352020158484,0.29606545582993,NA,NA,NA,NA,NA,10,0.151515151515152,NA,0.0751246299393056,0.261041071288911
"Primary Tumor Subtype: Colorectal Cancer",NA,NA,NA,NA,NA,155,0.0706150341685649,NA,0.976481745851467,1,NA,NA,NA,NA,NA,126,0.812903225806452,NA,0.742478501692096,0.870972719175711,NA,NA,NA,NA,NA,21,0.135483870967742,NA,0.0858633871660867,0.199617351434299,NA,NA,NA,NA,NA,8,0.0516129032258065,NA,0.0225431986880417,0.0991633383446811
"Primary Tumor Subtype: Endometrial Cancer",NA,NA,NA,NA,NA,72,0.0328018223234624,NA,0.950055916294145,1,NA,NA,NA,NA,NA,47,0.652777777777778,NA,0.531367168718701,0.761187230594636,NA,NA,NA,NA,NA,12,0.166666666666667,NA,0.0891964060081259,0.273039278911931,NA,NA,NA,NA,NA,13,0.180555555555556,NA,0.0997935081528962,0.288943408402929
"Primary Tumor Subtype: Esophagogastric Carcinoma",NA,NA,NA,NA,NA,93,0.042369020501139,NA,0.961111001465724,1,NA,NA,NA,NA,NA,68,0.731182795698925,NA,0.629241655175426,0.817882403491451,NA,NA,NA,NA,NA,14,0.150537634408602,NA,0.0848161614834412,0.23966053353562,NA,NA,NA,NA,NA,11,0.118279569892473,NA,0.0605478399326447,0.201786432570114
"Primary Tumor Subtype: Glioma",NA,NA,NA,NA,NA,162,0.0738041002277904,NA,0.977486438547194,1,NA,NA,NA,NA,NA,141,0.87037037037037,NA,0.808695609851297,0.917933679408848,NA,NA,NA,NA,NA,17,0.104938271604938,NA,0.0623293691338637,0.162695208011142,NA,NA,NA,NA,NA,4,0.0246913580246914,NA,0.00676763484944703,0.0620106637631304
"Primary Tumor Subtype: Head and Neck Carcinoma",NA,NA,NA,NA,NA,138,0.062870159453303,NA,0.973623100659039,1,NA,NA,NA,NA,NA,108,0.782608695652174,NA,0.704433301208877,0.848263319014483,NA,NA,NA,NA,NA,20,0.144927536231884,NA,0.0908289738907556,0.21491836417849,NA,NA,NA,NA,NA,10,0.072463768115942,NA,0.0352945530644945,0.129225690697929
